"year","Chile","Australia","Canada","Switzerland","Denmark","Finland","Norway","New Zealand","Sweden","Portugal"
1900,2533,5992,4630,5124,4295,1813,3813,5942,3438,1729
1901,2556,5756,4913,4865,4429,1778,3865,5839,3550,1686
1902,2695,5757,5270,4969,4491,1729,3884,6136,3526,1681
1903,2529,6165,5260,4842,4714,1832,3936,6535,3736,1691
1904,2728,6524,5161,5141,4774,1881,3960,6318,3825,1698
1905,2595,6532,5590,5306,4814,1893,4025,6705,3794,1637
1906,2743,6905,6021,5515,4904,1950,4261,7130,4124,1634
1907,2849,7102,6049,5451,5036,1993,4339,7381,4427,1659
1908,3007,7251,5562,5429,5142,1987,4458,6684,4318,1619
1909,3023,7727,5978,5469,5284,2047,4523,6595,4368,1604
1910,3355,8117,6296,5613,5386,2071,4779,7349,4476,1631
1911,3352,8066,6568,5595,5568,2107,4852,7595,4516,1649
1912,3595,8171,6870,5771,5467,2197,4898,7201,4615,1669
1913,3617,8380,7026,5622,5572,2293,5250,7123,4825,1660
1914,3045,8282,6403,5212,5814,2174,5070,7174,4848,1670
1915,2852,8177,6777,5149,5306,2045,5066,7152,4934,1630
1916,3442,8255,7488,5434,5427,2057,5424,7078,5121,1638
1917,3456,8215,7787,5200,5009,1718,4755,6923,4728,1610
1918,3443,7993,7250,4692,4756,1488,4382,6789,4294,1527
1919,2882,8297,6605,4614,5270,1802,4924,7303,4283,1558
1920,3178,8491,6386,4858,5411,2005,4972,7799,4474,1632
1921,2788,8860,5587,4058,5149,2048,4346,7089,4166,1713
1922,2854,9249,6353,4699,5566,2236,4612,6692,4382,1899
1923,3376,9600,6700,4811,6045,2376,4817,7112,4437,1957
1924,3574,10138,6744,5126,5960,2417,4639,7110,4649,1861
1925,3668,10516,7406,5166,5720,2530,4491,7315,4661,1920
1926,3517,10677,7720,5204,5961,2599,4413,6781,4791,1884
1927,3400,10746,8372,5467,5994,2778,4539,6473,4846,2188
1928,4195,10690,8987,5672,6111,2942,4660,7107,4880,1953
1929,4248,10437,8856,5799,6431,2952,4850,7275,5061,2138
1930,3647,9302,8388,5834,6789,2914,5038,6856,5291,2086
1931,2920,8569,6962,5928,6833,2838,4629,6185,5168,2166
1932,2207,8949,6367,5647,6612,2821,4841,5980,4978,2181
1933,2707,9459,5829,5912,6788,3006,4948,6324,5072,2300
1934,3193,9847,6366,6060,6952,3345,5108,6588,5413,2369
1935,3374,10309,6795,5889,7074,3482,5349,6852,5675,2216
1936,3429,10652,7073,5912,7219,3713,5695,8068,5877,2022
1937,3802,11053,7651,6656,7363,3920,5934,8428,6036,2334
1938,3793,11280,7754,6467,7507,4112,6048,8926,6236,2320
1939,3819,11159,8110,6695,7832,3926,6317,8921,6697,2323
1940,3873,11725,9105,6860,6706,3732,5760,8701,6206,2145
1941,3808,12857,10234,6908,6013,3871,5881,8463,6037,2320
1942,3860,14160,11863,6703,6104,3899,5632,9336,6088,2269
1943,3897,14475,12215,6800,6719,4356,5492,9565,6282,2399
1944,3897,13780,12482,6992,7354,4366,5171,9481,6466,2513
1945,4155,12895,11929,6883,6741,4110,5751,9563,6654,2395
1946,4428,12246,11559,8425,7709,4413,6281,9884,7318,2560
1947,3880,12326,11787,8742,8078,4478,7065,10828,7914,2750
1948,4443,12834,11716,8820,8233,4793,7490,9561,8024,2717
1949,4271,13277,11680,8609,8744,5046,7631,10377,8292,2731
1950,4399,13542,12022,9053,9376,5208,7947,11666,8816,2771
1951,4489,12876,12267,9875,9307,5879,8442,9878,9078,2914
1952,4820,13235,12860,10030,9397,5988,8889,10617,9264,2914
1953,4798,13570,13090,10473,9982,5968,9108,10854,9599,3117
1954,5131,13912,12630,11157,9978,6592,9370,11895,9888,3234
1955,4846,14300,13245,11956,9986,6850,9425,11791,10084,3317
1956,4676,14542,13777,12825,10079,6954,9939,12232,10420,3416
1957,5137,14229,13621,13289,10931,7284,10195,12193,10787,3521
1958,5272,14770,13644,12943,11182,7378,10052,12808,10965,3571
1959,4863,15301,13798,13914,12056,7804,10386,13515,11310,3723
1960,4960,15196,13626,14627,12053,8428,10250,12677,11391,3900
